product_name_flip,retail_price_flip,discounted_price_flip,product_name_ama,retail_price_ama,discounted_price_ama
Allure Auto CM 2065 Car Mat Maruti Esteem,4900.0,1599.0,Allure Auto CM 2065 Car Mat Maruti Esteem,4895.0,1907.0
Allure Auto CM 2067 Car Mat Maruti Gypsy,4900.0,1599.0,Allure Auto CM 2067 Car Mat Maruti Gypsy,4897.0,1922.0
Unravel india Jodhpuri Peacock Multicolored Wine Bottle Holder Showpiece  -  33.02 cm,1866.0,1399.0,Unravel india Jodhpuri Peacock Multicolored Wine Bottle Holder Showpiece  -  33.02 cm,1849.0,1665.0
Lal Haveli Decorative manjira Musician Showpiece  -  12.7 cm,1000.0,749.0,Lal Haveli Decorative manjira Musician Showpiece  -  12.7 cm,987.0,917.0
Tatvaarts Tribal Face Showpiece  -  21.59 cm,6800.0,6100.0,Tatvaarts Tribal Face Showpiece  -  21.59 cm,6799.0,7290.0
Allure Auto CM 323 Car Mat Hyundai Accent,2800.0,920.0,Allure Auto CM 323 Car Mat Hyundai Accent,2795.0,1059.0
Allure Auto CM 175 Car Mat Honda CR-V,3150.0,1350.0,Allure Auto CM 175 Car Mat Honda CR-V,3131.0,1696.0
Allure Auto CM 262 Car Mat Tata Sumo,3150.0,1350.0,Allure Auto CM 262 Car Mat Tata Sumo,3137.0,1510.0
Allure Auto CM 702 Car Mat Toyota Innova,2450.0,920.0,Allure Auto CM 702 Car Mat Toyota Innova,2444.0,1055.0
Orchard Showpiece  -  13 cm,799.0,399.0,Orchard Showpiece  -  13 cm,798.0,490.0
Allure Auto CM 947 Car Mat Nissan Micra,4200.0,1380.0,Allure Auto CM 947 Car Mat Nissan Micra,4183.0,1635.0
Allure Auto CM 1574 Car Mat Daewoo Matiz,4900.0,1599.0,Allure Auto CM 1574 Car Mat Daewoo Matiz,4898.0,1888.0
Allure Auto CM 1032 Car Mat Honda New City,4900.0,1599.0,Allure Auto CM 1032 Car Mat Honda New City,4899.0,1940.0
Allure Auto CM 1170 Car Mat Honda City,4900.0,1599.0,Allure Auto CM 1170 Car Mat Honda City,4887.0,2017.0
Allure Auto CM 1825 Car Mat Tata Sumo Grand,4900.0,1599.0,Allure Auto CM 1825 Car Mat Tata Sumo Grand,4881.0,2072.0
Allure Auto CM 2083 Car Mat Nissan Micra,4900.0,1599.0,Allure Auto CM 2083 Car Mat Nissan Micra,4886.0,1895.0
Allure Auto CM 1442 Car Mat Ford Endeavour,4900.0,1599.0,Allure Auto CM 1442 Car Mat Ford Endeavour,4891.0,1959.0
Mooz Beautiful Wheel Pizza Cutter,199.0,89.0,Mooz Beautiful Wheel Pizza Cutter,194.0,112.0
Allure Auto CM 955 Car Mat Skoda Fabia,4200.0,1380.0,Allure Auto CM 955 Car Mat Skoda Fabia,4186.0,1643.0
Unique Design Marble Chopra Showpiece  -  8 cm,599.0,249.0,Unique Design Marble Chopra Showpiece  -  8 cm,595.0,289.0
Trove Resin Necklace,799.0,350.0,Trove Resin Necklace,780.0,428.0
Allure Auto CM 1736 Car Mat Honda Brio,4900.0,1599.0,Allure Auto CM 1736 Car Mat Honda Brio,4896.0,1762.0
Allure Auto CM 973 Car Mat Tata Sumo Grand,4200.0,1380.0,Allure Auto CM 973 Car Mat Tata Sumo Grand,4196.0,1737.0
Youshine Metal Necklace,295.0,148.0,Youshine Metal Necklace,282.0,167.0
"Voylla Metal, Alloy Necklace",410.0,369.0,"Voylla Metal, Alloy Necklace",409.0,474.0
Allure Auto CM 285 Car Mat Chevrolet Aveo,2800.0,920.0,Allure Auto CM 285 Car Mat Chevrolet Aveo,2791.0,1036.0
Zaicus Vintage Rivets Choker Statement Alloy Necklace,699.0,199.0,Zaicus Vintage Rivets Choker Statement Alloy Necklace,692.0,256.0
Smghut Paperino Wheel Pizza Cutter,1599.0,999.0,Smghut Paperino Wheel Pizza Cutter,1580.0,1248.0
Allure Auto CM 1020 Car Mat Ford New Fiesta,4900.0,1599.0,Allure Auto CM 1020 Car Mat Ford New Fiesta,4888.0,1980.0
"UpTown Metal, Alloy Necklace",500.0,399.0,"UpTown Metal, Alloy Necklace",483.0,500.0
Zakaah Jewels Sterling Silver Plated Stone Necklace,999.0,499.0,Zakaah Jewels Sterling Silver Plated Stone Necklace,982.0,549.0
UpTown Wood Necklace,550.0,399.0,UpTown Wood Necklace,542.0,516.0
Allure Auto CM 1164 Car Mat HM Ambassador 2.0D,4900.0,1599.0,Allure Auto CM 1164 Car Mat HM Ambassador 2.0D,4885.0,1959.0
"Voylla Metal, Alloy Necklace",640.0,440.0,"Voylla Metal, Alloy Necklace",637.0,562.0
"Vinnis Bella Alloy, Plastic Necklace",550.0,220.0,"Vinnis Bella Alloy, Plastic Necklace",539.0,284.0
Allure Auto CM 267 Car Mat Tata Zest,3150.0,1350.0,Allure Auto CM 267 Car Mat Tata Zest,3146.0,1635.0
Voylla Alloy Necklace,400.0,381.0,Voylla Alloy Necklace,397.0,495.0
Allure Auto CM 1208 Car Mat Maruti Baleno,4900.0,1599.0,Allure Auto CM 1208 Car Mat Maruti Baleno,4889.0,1767.0
Womens Trendz Alloy Necklace,2100.0,475.0,Womens Trendz Alloy Necklace,2097.0,552.0
Allure Auto CM 685 Car Mat Tata Nano,2450.0,920.0,Allure Auto CM 685 Car Mat Tata Nano,2444.0,1072.0
Aaradhi Divya Mantra Blue Chalcedony Gemstone For Positive Energy Chalcedony Stone Necklace,1800.0,599.0,Aaradhi Divya Mantra Blue Chalcedony Gemstone For Positive Energy Chalcedony Stone Necklace,1782.0,769.0
Lovehome Wheel Pizza Cutter,210.0,150.0,Lovehome Wheel Pizza Cutter,196.0,183.0
Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,1980.0,445.0,Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,1964.0,526.0
Allure Auto CM 914 Car Mat Mahindra Thar,4200.0,1380.0,Allure Auto CM 914 Car Mat Mahindra Thar,4194.0,1572.0
"Voylla Metal, Alloy Necklace",379.0,189.0,"Voylla Metal, Alloy Necklace",370.0,226.0
Allure Auto CM 1861 Car Mat Fiat Avventura,4900.0,1599.0,Allure Auto CM 1861 Car Mat Fiat Avventura,4898.0,2037.0
Voylla Crystal Alloy Necklace,449.0,329.0,Voylla Crystal Alloy Necklace,443.0,386.0
Voylla Artifictial Classic Textured Silver Plated Cotton Dori Necklace,469.0,320.0,Voylla Artifictial Classic Textured Silver Plated Cotton Dori Necklace,450.0,380.0
Allure Auto CM 544 Car Mat Tata Safari,2800.0,920.0,Allure Auto CM 544 Car Mat Tata Safari,2793.0,1145.0
Pratha Wheel Pizza Cutter,750.0,180.0,Pratha Wheel Pizza Cutter,741.0,227.0
Voylla Artificial Classic Plain Yellow Gold Plated Alloy Necklace,549.0,479.0,Voylla Artificial Classic Plain Yellow Gold Plated Alloy Necklace,534.0,564.0
Allure Auto CM 852 Car Mat Volkswagen Vento,4200.0,1380.0,Allure Auto CM 852 Car Mat Volkswagen Vento,4199.0,1751.0
A Bit of Me Au Fait? Alloy Necklace,599.0,599.0,A Bit of Me Au Fait? Alloy Necklace,588.0,771.0
3a AUTOCARE Car Mat Mahindra Scorpio,3500.0,2750.0,3a AUTOCARE Car Mat Mahindra Scorpio,3489.0,3096.0
Voylla Yellow Gold Plated Alloy Necklace,499.0,499.0,Voylla Yellow Gold Plated Alloy Necklace,489.0,628.0
"UpTown Metal, Alloy Necklace",650.0,450.0,"UpTown Metal, Alloy Necklace",647.0,527.0
Lal Haveli Beautiful Wooden Jharoka Photo Frames Showpiece  -  43.18 cm,2000.0,1499.0,Lal Haveli Beautiful Wooden Jharoka Photo Frames Showpiece  -  43.18 cm,1988.0,1902.0
Voylla Yellow Gold Plated Alloy Necklace,439.0,329.0,Voylla Yellow Gold Plated Alloy Necklace,430.0,373.0
Allure Auto CM 407 Car Mat Tata Victa,2800.0,920.0,Allure Auto CM 407 Car Mat Tata Victa,2796.0,1036.0
Aaradhi Divya Mantra Onyx Gemstone Positive Energy Onyx Stone Necklace,1200.0,999.0,Aaradhi Divya Mantra Onyx Gemstone Positive Energy Onyx Stone Necklace,1196.0,1192.0
WonderChef Trudeau 990012 Wheel Pizza Cutter,1099.0,1099.0,WonderChef Trudeau 990012 Wheel Pizza Cutter,1087.0,1343.0
"Village Handicrafts Rose Gold Plated Alloy, Glass, Resin Choker",450.0,420.0,"Village Handicrafts Rose Gold Plated Alloy, Glass, Resin Choker",439.0,493.0
Shree Homdecor Floor rangoli Showpiece  -  21 cm,799.0,699.0,Shree Homdecor Floor rangoli Showpiece  -  21 cm,795.0,877.0
Voylla Yellow Gold Plated Fabric Necklace,490.0,446.0,Voylla Yellow Gold Plated Fabric Necklace,486.0,541.0
Allure Auto CM 1097 Car Mat Skoda Fabia,4900.0,1599.0,Allure Auto CM 1097 Car Mat Skoda Fabia,4897.0,1896.0
Voylla Artificial Classic Plain Silver Plated Alloy Necklace,459.0,289.0,Voylla Artificial Classic Plain Silver Plated Alloy Necklace,457.0,357.0
Allure Auto CM 1822 Car Mat Tata Safari,4900.0,1599.0,Allure Auto CM 1822 Car Mat Tata Safari,4882.0,1861.0
Pratha Wheel Pizza Cutter,500.0,180.0,Pratha Wheel Pizza Cutter,491.0,203.0
Voylla Artifictial Classic Plain Alloy Necklace,689.0,499.0,Voylla Artifictial Classic Plain Alloy Necklace,673.0,612.0
Allure Auto CM 1605 Car Mat Hyundai Fluidic Verna,4900.0,1599.0,Allure Auto CM 1605 Car Mat Hyundai Fluidic Verna,4889.0,1834.0
YugshaJewels Brass Necklace,1699.0,449.0,YugshaJewels Brass Necklace,1685.0,534.0
Allure Auto CM 367 Car Mat Maruti Ritz,2800.0,920.0,Allure Auto CM 367 Car Mat Maruti Ritz,2793.0,1119.0
MCB Exports Mini 6 Drawer Chest Showpiece  -  28 cm,3699.0,3299.0,MCB Exports Mini 6 Drawer Chest Showpiece  -  28 cm,3681.0,4053.0
Adorelabel The All Time Chic Poppy - Yellow Metal Necklace,2760.0,828.0,Adorelabel The All Time Chic Poppy - Yellow Metal Necklace,2753.0,1007.0
Addons Bella Alloy Necklace,1499.0,675.0,Addons Bella Alloy Necklace,1489.0,764.0
Voylla Alloy Necklace,380.0,380.0,Voylla Alloy Necklace,371.0,432.0
Shoppingtara Paper Mache 3 Piece Elephant Home Decor Gift Showpiece  -  4 cm,1520.0,489.0,Shoppingtara Paper Mache 3 Piece Elephant Home Decor Gift Showpiece  -  4 cm,1502.0,558.0
"Voylla Metal, Alloy Necklace",499.0,310.0,"Voylla Metal, Alloy Necklace",491.0,383.0
Allure Auto CM 195 Car Mat Hyundai Verna Fluidic,3150.0,1350.0,Allure Auto CM 195 Car Mat Hyundai Verna Fluidic,3142.0,1497.0
Aaishwarya Glamour Green Crystal Alloy Necklace,1650.0,649.0,Aaishwarya Glamour Green Crystal Alloy Necklace,1638.0,746.0
Allure Auto CM 1733 Car Mat HM Ambassador MPFi,4900.0,1599.0,Allure Auto CM 1733 Car Mat HM Ambassador MPFi,4882.0,1979.0
"Voylla Metal, Alloy Necklace",390.0,390.0,"Voylla Metal, Alloy Necklace",376.0,435.0
UpTown Fabric Necklace,699.0,399.0,UpTown Fabric Necklace,685.0,448.0
Allure Auto CM 108 Car Mat Skoda Yeti,3150.0,1350.0,Allure Auto CM 108 Car Mat Skoda Yeti,3141.0,1752.0
Allure Auto CM 1263 Car Mat Toyota Camry,4900.0,1599.0,Allure Auto CM 1263 Car Mat Toyota Camry,4885.0,2046.0
"Voylla Metal, Alloy Necklace",499.0,401.0,"Voylla Metal, Alloy Necklace",489.0,464.0
UpTown Acrylic Necklace,775.0,399.0,UpTown Acrylic Necklace,771.0,491.0
"Voylla Metal, Alloy Necklace",360.0,360.0,"Voylla Metal, Alloy Necklace",356.0,397.0
Allure Auto CM 114 Car Mat Tata Indigo,3150.0,1350.0,Allure Auto CM 114 Car Mat Tata Indigo,3143.0,1569.0
3a Autocare Fortuner Car Mat Toyota Fortuner,3500.0,2650.0,3a Autocare Fortuner Car Mat Toyota Fortuner,3486.0,3377.0
"Vinnis Metal, Alloy, Fabric Necklace",449.0,399.0,"Vinnis Metal, Alloy, Fabric Necklace",448.0,493.0
Pearl Berry Rolling Pizza Cutter,399.0,79.0,Pearl Berry Rolling Pizza Cutter,379.0,90.0
Adorelabel The Vintage Egyptian - Silver Brass Necklace,2904.0,871.0,Adorelabel The Vintage Egyptian - Silver Brass Necklace,2896.0,1082.0
King International Ergonomic Design with Long Gripped Handle Rolling Pizza Cutter,299.0,199.0,King International Ergonomic Design with Long Gripped Handle Rolling Pizza Cutter,296.0,249.0
"UpTown Metal, Alloy Necklace",399.0,235.0,"UpTown Metal, Alloy Necklace",394.0,293.0
Voylla Rhodium Plated Alloy Necklace,1259.0,469.0,Voylla Rhodium Plated Alloy Necklace,1244.0,524.0
Surface180 Fascinating Antique Style Wooden Three Drawer Box Showpiece  -  20 cm,1285.0,1257.0,Surface180 Fascinating Antique Style Wooden Three Drawer Box Showpiece  -  20 cm,1267.0,1438.0
Voylla Yellow Gold Plated Alloy Necklace,390.0,390.0,Voylla Yellow Gold Plated Alloy Necklace,380.0,429.0
Voylla Artificial Classic Textured Silver Plated Alloy Necklace,469.0,299.0,Voylla Artificial Classic Textured Silver Plated Alloy Necklace,467.0,333.0
Tatvaarts Ashta Lakshmi (Bronze-Finish) Showpiece  -  27.94 cm,13500.0,12500.0,Tatvaarts Ashta Lakshmi (Bronze-Finish) Showpiece  -  27.94 cm,13486.0,14715.0
Visaga Plastic Necklace,300.0,255.0,Visaga Plastic Necklace,283.0,319.0
Allure Auto CM 1453 Car Mat Honda CR-V,4900.0,1599.0,Allure Auto CM 1453 Car Mat Honda CR-V,4898.0,2009.0
Aaishwarya Enchanting Leaf & Pearls Alloy Necklace,1200.0,599.0,Aaishwarya Enchanting Leaf & Pearls Alloy Necklace,1185.0,747.0
Allure Auto CM 120 Car Mat Tata Sumo,3150.0,1350.0,Allure Auto CM 120 Car Mat Tata Sumo,3132.0,1581.0
Vinnis Bella Resin Necklace,650.0,450.0,Vinnis Bella Resin Necklace,630.0,539.0
Volaliva Metal Choker,550.0,350.0,Volaliva Metal Choker,531.0,396.0
Allure Auto CM 652 Car Mat Maruti SX4,2450.0,920.0,Allure Auto CM 652 Car Mat Maruti SX4,2446.0,1039.0
Allure Auto CM 1352 Car Mat Maruti Ciaz,4900.0,1599.0,Allure Auto CM 1352 Car Mat Maruti Ciaz,4899.0,1801.0
"Voylla Metal, Alloy Necklace",460.0,380.0,"Voylla Metal, Alloy Necklace",444.0,467.0
Pratha Wheel Pizza Cutter,750.0,180.0,Pratha Wheel Pizza Cutter,737.0,227.0
Allure Auto CM 2005 Car Mat Fiat Linea,4900.0,1599.0,Allure Auto CM 2005 Car Mat Fiat Linea,4884.0,2070.0
"UpTown Metal, Alloy Necklace",450.0,230.0,"UpTown Metal, Alloy Necklace",432.0,265.0
Allure Auto CM 155 Car Mat Datsun Go,3150.0,1350.0,Allure Auto CM 155 Car Mat Datsun Go,3149.0,1603.0
Monil Round Kundan Studded Analog 5.08 cm Showpiece  -  30.48 cm,1500.0,999.0,Monil Round Kundan Studded Analog 5.08 cm Showpiece  -  30.48 cm,1493.0,1237.0
"UpTown Metal, Alloy Necklace",299.0,299.0,"UpTown Metal, Alloy Necklace",282.0,384.0
Nourish Wheel Pizza Cutter,1199.0,499.0,Nourish Wheel Pizza Cutter,1188.0,586.0
Wow Crystal Necklace,500.0,358.0,Wow Crystal Necklace,499.0,437.0
Allure Auto CM 759 Car Mat Hyundai Sonata,4200.0,1380.0,Allure Auto CM 759 Car Mat Hyundai Sonata,4186.0,1625.0
Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,1980.0,445.0,Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,1968.0,551.0
Allure Auto CM 623 Car Mat Hyundai i10,2450.0,920.0,Allure Auto CM 623 Car Mat Hyundai i10,2443.0,1176.0
Zaicus Exotic Geometric Choker Statement Alloy Necklace,699.0,299.0,Zaicus Exotic Geometric Choker Statement Alloy Necklace,685.0,348.0
Voylla Pearl Alloy Necklace,809.0,459.0,Voylla Pearl Alloy Necklace,800.0,564.0
"Youshine Metal, Stone Necklace",395.0,198.0,"Youshine Metal, Stone Necklace",381.0,236.0
Aahana Creations Cubic Zirconia Yellow Gold Plated Alloy Necklace,1600.0,800.0,Aahana Creations Cubic Zirconia Yellow Gold Plated Alloy Necklace,1599.0,896.0
Allure Auto CM 1202 Car Mat Mahindra Xylo,4900.0,1599.0,Allure Auto CM 1202 Car Mat Mahindra Xylo,4896.0,1861.0
"Village Handicrafts Glass, Metal Necklace",315.0,315.0,"Village Handicrafts Glass, Metal Necklace",297.0,376.0
3a AUTOCARE Car Mat Hyundai Xcent,2600.0,1790.0,3a AUTOCARE Car Mat Hyundai Xcent,2583.0,2059.0
Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,2100.0,475.0,Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,2087.0,611.0
Voylla Fabric Necklace,470.0,414.0,Voylla Fabric Necklace,467.0,486.0
Aahana Creations Aahana Collections Necklace Chain Yellow Gold Plated Alloy Necklace,2000.0,1000.0,Aahana Creations Aahana Collections Necklace Chain Yellow Gold Plated Alloy Necklace,1987.0,1252.0
Allure Auto CM 359 Car Mat Maruti Eeco,2800.0,920.0,Allure Auto CM 359 Car Mat Maruti Eeco,2796.0,1058.0
YugshaJewels Brass Necklace,1499.0,449.0,YugshaJewels Brass Necklace,1493.0,521.0
The Crystal Jewel Reiki Symbols carved on Lapiz Lazuli Pyramid Showpiece  -  3 cm,999.0,650.0,The Crystal Jewel Reiki Symbols carved on Lapiz Lazuli Pyramid Showpiece  -  3 cm,994.0,723.0
Twella Creations Twella Magic Glass Necklace,450.0,185.0,Twella Creations Twella Magic Glass Necklace,441.0,227.0
Allure Auto CM 390 Car Mat Skoda Rapid,2800.0,920.0,Allure Auto CM 390 Car Mat Skoda Rapid,2785.0,1162.0
Unique Design Ashoka Pillar 6 Inch Showpiece  -  15 cm,999.0,329.0,Unique Design Ashoka Pillar 6 Inch Showpiece  -  15 cm,996.0,398.0
Voylla Artificial Simplicity Plain Silver Plated Alloy Necklace,699.0,350.0,Voylla Artificial Simplicity Plain Silver Plated Alloy Necklace,691.0,442.0
3D Mat Floor Car Mat Toyota Innova,7250.0,6999.0,3D Mat Floor Car Mat Toyota Innova,7247.0,8106.0
Adorelabel Azure Long Glass Necklace,1704.0,511.0,Adorelabel Azure Long Glass Necklace,1702.0,657.0
Allure Auto CM 378 Car Mat Mitsubishi Lancer,2800.0,920.0,Allure Auto CM 378 Car Mat Mitsubishi Lancer,2788.0,1049.0
Youshine Metal Necklace,749.0,375.0,Youshine Metal Necklace,731.0,422.0
Allure Auto CM 1998 Car Mat Chevrolet Tavera,4900.0,1599.0,Allure Auto CM 1998 Car Mat Chevrolet Tavera,4898.0,1991.0
Voylla Precious Simplicity Plain Sterling Silver Chain,599.0,309.0,Voylla Precious Simplicity Plain Sterling Silver Chain,584.0,401.0
3a Autocare Scorpio Car Mat Mahindra Scorpio,3500.0,2250.0,3a Autocare Scorpio Car Mat Mahindra Scorpio,3484.0,2758.0
Aaradhi Divya Mantra Turquoise Gemstone For Wealth and Positive Energy Turquoise Stone Necklace,1800.0,699.0,Aaradhi Divya Mantra Turquoise Gemstone For Wealth and Positive Energy Turquoise Stone Necklace,1786.0,860.0
Vijisan Beautiful Gemstone Bead Garnet Stone Necklace,238.0,238.0,Vijisan Beautiful Gemstone Bead Garnet Stone Necklace,232.0,273.0
Allure Auto CM 1591 Car Mat HM Ambassador MPFi,4900.0,1599.0,Allure Auto CM 1591 Car Mat HM Ambassador MPFi,4880.0,2025.0
Voylla Yellow Gold Plated Alloy Necklace,410.0,410.0,Voylla Yellow Gold Plated Alloy Necklace,400.0,529.0
3a AUTOCARE Car Mat Honda City,2800.0,1850.0,3a AUTOCARE Car Mat Honda City,2797.0,2122.0
MCB Exports Iron Decorative Pot Showpiece  -  61 cm,5549.0,4199.0,MCB Exports Iron Decorative Pot Showpiece  -  61 cm,5545.0,5404.0
"UpTown Metal, Alloy Necklace",450.0,299.0,"UpTown Metal, Alloy Necklace",443.0,344.0
Twella Creations Twella Magic Metal Necklace,900.0,215.0,Twella Creations Twella Magic Metal Necklace,896.0,243.0
Villcart Warli Wall Piece - 1 Showpiece  -  22.5 cm,560.0,504.0,Villcart Warli Wall Piece - 1 Showpiece  -  22.5 cm,543.0,630.0
3a Autocare Santro Car Mat Hyundai Santro,2250.0,1460.0,3a Autocare Santro Car Mat Hyundai Santro,2242.0,1775.0
Seema's Craft Creation Shubh - Laabh (Flower) Showpiece  -  11 cm,999.0,599.0,Seema's Craft Creation Shubh - Laabh (Flower) Showpiece  -  11 cm,984.0,743.0
Allure Auto CM 1668 Car Mat Skoda Rapid,4900.0,1599.0,Allure Auto CM 1668 Car Mat Skoda Rapid,4887.0,1875.0
Village Handicrafts Glass Necklace,290.0,273.0,Village Handicrafts Glass Necklace,285.0,344.0
"Voylla Metal, Alloy Necklace",309.0,219.0,"Voylla Metal, Alloy Necklace",291.0,278.0
"Voylla Metal, Alloy Necklace",240.0,219.0,"Voylla Metal, Alloy Necklace",222.0,271.0
Sunvi Rajasthani Stonework Pooja Chopra Showpiece  -  12 cm,899.0,239.0,Sunvi Rajasthani Stonework Pooja Chopra Showpiece  -  12 cm,883.0,308.0
Voylla Yellow Gold Plated Alloy Necklace,419.0,251.0,Voylla Yellow Gold Plated Alloy Necklace,417.0,277.0
Unravel India Showpiece  -  6.5 cm,1799.0,1799.0,Unravel India Showpiece  -  6.5 cm,1780.0,2266.0
Voylla Artifictial Classic Plain Cotton Dori Necklace,469.0,320.0,Voylla Artifictial Classic Plain Cotton Dori Necklace,461.0,364.0
Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,1800.0,400.0,Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,1781.0,455.0
Allure Auto CM 854 Car Mat Chevrolet Beat,4200.0,1380.0,Allure Auto CM 854 Car Mat Chevrolet Beat,4191.0,1651.0
Allure Auto CM 842 Car Mat Toyota Etios Liva,4200.0,1380.0,Allure Auto CM 842 Car Mat Toyota Etios Liva,4186.0,1588.0
Voylla Artificial Plain Yellow Gold Plated Alloy Necklace,519.0,319.0,Voylla Artificial Plain Yellow Gold Plated Alloy Necklace,514.0,359.0
"Vinnis Metal, Alloy Necklace",399.0,299.0,"Vinnis Metal, Alloy Necklace",381.0,338.0
Giftmania Wheel Pizza Cutter,299.0,129.0,Giftmania Wheel Pizza Cutter,296.0,164.0
"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",499.0,325.0,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",490.0,395.0
"UpTown Metal, Alloy Necklace",399.0,300.0,"UpTown Metal, Alloy Necklace",392.0,332.0
Allure Auto CM 2072 Car Mat Maruti SX4,4900.0,1599.0,Allure Auto CM 2072 Car Mat Maruti SX4,4883.0,1882.0
Voylla Artifictial Beaded Plain Alloy Necklace,329.0,299.0,Voylla Artifictial Beaded Plain Alloy Necklace,311.0,358.0
Go Hooked Wheel Pizza Cutter,450.0,199.0,Go Hooked Wheel Pizza Cutter,433.0,223.0
Voylla Artifictial Beaded Plain Yellow Gold Plated Alloy Necklace,599.0,479.0,Voylla Artifictial Beaded Plain Yellow Gold Plated Alloy Necklace,590.0,572.0
Voylla Artificial Simplicity Plain Crystal Yellow Gold Plated Alloy Necklace,539.0,377.0,Voylla Artificial Simplicity Plain Crystal Yellow Gold Plated Alloy Necklace,533.0,436.0
Allure Auto CM 865 Car Mat Datsun Go,4200.0,1380.0,Allure Auto CM 865 Car Mat Datsun Go,4197.0,1518.0
"Village Handicrafts Rose Gold Plated Acrylic, Glass, Metal Necklace",400.0,378.0,"Village Handicrafts Rose Gold Plated Acrylic, Glass, Metal Necklace",385.0,439.0
Voylla Artifictial Beaded Plain Alloy Necklace,469.0,381.0,Voylla Artifictial Beaded Plain Alloy Necklace,464.0,483.0
Allure Auto CM 1704 Car Mat Volkswagen Vento,4900.0,1599.0,Allure Auto CM 1704 Car Mat Volkswagen Vento,4898.0,1794.0
Volaliva Metal Choker,1000.0,499.0,Volaliva Metal Choker,992.0,628.0
Voylla Fabric Necklace,520.0,369.0,Voylla Fabric Necklace,507.0,431.0
The Crystal Jewel Chakra colour Bonded Pyramid Showpiece  -  4 cm,999.0,650.0,The Crystal Jewel Chakra colour Bonded Pyramid Showpiece  -  4 cm,979.0,743.0
Adorelabel Royal Maharani Gold Plated Tehzeeb Zinc Necklace,1947.0,584.0,Adorelabel Royal Maharani Gold Plated Tehzeeb Zinc Necklace,1930.0,707.0
Allure Auto CM 853 Car Mat Chevrolet Aveo,4200.0,1380.0,Allure Auto CM 853 Car Mat Chevrolet Aveo,4197.0,1787.0
Saum Creation Hand crafted Terracotta Men Women Mask Showpiece  -  32 cm,600.0,450.0,Saum Creation Hand crafted Terracotta Men Women Mask Showpiece  -  32 cm,593.0,508.0
Urthn Alloy Necklace,599.0,299.0,Urthn Alloy Necklace,580.0,346.0
"Vinnis Bella Fabric, Alloy Necklace",450.0,380.0,"Vinnis Bella Fabric, Alloy Necklace",431.0,478.0
Ravishing Variety Statue Showpiece  -  30 cm,1299.0,830.0,Ravishing Variety Statue Showpiece  -  30 cm,1292.0,1047.0
"Voylla Metal, Alloy Necklace",460.0,380.0,"Voylla Metal, Alloy Necklace",448.0,489.0
Allure Auto CM 1509 Car Mat Maruti WagonR,4900.0,1599.0,Allure Auto CM 1509 Car Mat Maruti WagonR,4895.0,2005.0
Trinklets Bring on the Bling Metal Necklace,350.0,350.0,Trinklets Bring on the Bling Metal Necklace,336.0,387.0
Allure Auto CM 846 Car Mat Volkswagen Beetle,4200.0,1380.0,Allure Auto CM 846 Car Mat Volkswagen Beetle,4180.0,1574.0
Aaradhi Stone Necklace,2500.0,999.0,Aaradhi Stone Necklace,2488.0,1237.0
Voylla Artifictial Beaded Plain Alloy Necklace,889.0,414.0,Voylla Artifictial Beaded Plain Alloy Necklace,881.0,522.0
Voylla Artifictial Beaded Plain Pearl Alloy Necklace,329.0,219.0,Voylla Artifictial Beaded Plain Pearl Alloy Necklace,317.0,248.0
Allure Auto CM 1455 Car Mat Honda Civic,4900.0,1599.0,Allure Auto CM 1455 Car Mat Honda Civic,4881.0,1943.0
Vastradi Butterfly Brass Necklace,2495.0,499.0,Vastradi Butterfly Brass Necklace,2482.0,549.0
Allure Auto CM 716 Car Mat Chevrolet Optra,4200.0,1380.0,Allure Auto CM 716 Car Mat Chevrolet Optra,4195.0,1539.0
"Voylla Metal, Alloy Necklace",429.0,219.0,"Voylla Metal, Alloy Necklace",426.0,251.0
Allure Auto CM 922 Car Mat Maruti Alto 800,4200.0,1380.0,Allure Auto CM 922 Car Mat Maruti Alto 800,4182.0,1706.0
Zephyrr Alloy Necklace,602.0,399.0,Zephyrr Alloy Necklace,597.0,487.0
Allure Auto CM 414 Car Mat Toyota Etios,2800.0,920.0,Allure Auto CM 414 Car Mat Toyota Etios,2792.0,1153.0
VR Designers Acrylic Necklace,500.0,200.0,VR Designers Acrylic Necklace,483.0,228.0
Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,2100.0,475.0,Womens Trendz Kolhapuri Saaj Thushi Crystal Yellow Gold Plated Alloy Necklace,2088.0,566.0
